Zkoušející,Rok,Obor,Oborová,Předmět,Otázka,,
Suchý Ondřej,LS 2016,TI,Ano,GRA,"Reprezentace grafů, procházení grafů (do šířky, do hloubky), jak se reprezentace grafu projeví na složitosti BFS/DFS. Isomorfismus grafů, čím se liší 2 isomorfní grafy. ",,
Guth Ondřej,LS 2017,,Ano,GRA,"Reprezentace a procházení grafů (do šířky, do hloubky), isomorfismus grafů, souvislost a komponenty, silná souvislost, algoritmy určení komponent/silných komponent. (celý okruh) ",,
Valla Tomáš,LS 2017,,Ano,GRA,"Toky v sítích, určení maximálního toku v síti, párování, přiřazovací úloha.",,
Buček,LS 2021,BIT,Ano,HWB,"Typy postranních kanálů, útok SPA na RSA.",,
Buček Jiří,LS 2018,BIT,Ano,HWB,"Postranní kanály - útok SPA na RSA (chtěl vědět co je utajovaná informace, že se tam používá Square and Multipy, ideálně napsat pseudokod desifrovani u RSA)",,
Buček Jiří,LS 2021,BIT,Ano,HWB,"Typy postranních kanálů, útok SPA na RSA.",,
Kodýtek Filip,LS 2020,BIT,Ano,HWB,TRNG,,
Kokeš Josef,LS 2022,BIT,Ano,HWB,TRNG,,
Kubátová Hana,LS 2016,PI,Ano,JPO,,,
Novotný Martin,LS 2015,PI,Ano,JPO,"Aritmetická jednotka (Sčítačka, odčítačka, posuvy, násobička, delička) ",,
Kohlík Martin,LS 2017,,Ano,JPO,Řadič obvodový a mikroprogramovaný. Výhody x nevýhody. ,,
David Buchtela,LS 2022,ISM,Ano,KOM,ontoUML - lámal ze mě co je identita k transformaci jsme se vubec nedostali,,
Rybola Zdeněk,LS 2018,SI,Ano,KOM,Prevod OntoUML do OO. Sustredit sa na rigidne a antirigidne sortaly.,,
Suchánek Marek,LS 2022,SI,Ano,KOM,"Metoda DEMO - základní pojmy, co je to transakce, z čeho se skládá transakce; OCD - k čemu slouží, syntaxe",,
Rybola,LS 2021,WSI-SI,Ano,KOM,"OntoUML a jeho konstrukty, transformace do objektového modelu. Zamerajte sa na základné sortály a ich vlastnosti, uveďte príklady.",,
Starý,LS 2020,BIT,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice.",,
Starý Jan,LS 2019,BIT,Ne,LIN,"Diagonalizace: Matice diagonalizace, definice atd. Vztah lineárního operátoru.",,
Šolcová,LS 2021,BIT,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice.",,
Zhouf,LS 2021,BIT,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda.",,
Zhouf Jaroslav,LS 2019,BIT,Ne,LIN,"Soustavy lineárních rovnic a jejich řešení, Frobeniova věta a s ní spojené pojmy, Gem.",,
Zhouf Jaroslav,LS 2021,BIT,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda.",,
Dedecius Kamil,LS 2019,ISM,Ne,LIN,"Matice: regulární matice, inverzní matice a její výpočet diagonalizace matice, GEM.",,
Rybníčková,LS 2021,ISM,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice. Omezení na součin matic, definice regulární a inverzní matice, výpočet inverzní matice (uvést na příkladu) a uvést příklad netriviální singulární matice.",,
Rybníčková Jitka,LS 2015,ISM,Ne,LIN,"Definice determinantu, popsat inverzi, znaménko inverze, rozvoj determinantu: ",,
Rybníčková Jitka,LS 2015,ISM,Ne,LIN,"Definujte matici, maticový počet, maticový součin, inverzní matici, regulární matici a jednotkovou matici. Uveďte postup pro výpočet inverzní matice. ",,
Soudský Filip,LS 2016,ISM,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda. ",,
Zhouf Jaroslav,LS 2015,ISM,Ne,LIN,"Determinant matice, jeho vlastnosti, použití, Cramerovo pravidlo ",,
Zhouf Jaroslav,LS 2015,ISM,Ne,LIN,"Skalární součin na lineárním prostoru, norma, odchylka vektorů, ortogonální/ortonormální báze, ortogonální doplněk, Gramův-Schmidtův ortogonalizační proces. ",,
Klouda Karel,LS 2015,IT,Ne,LIN,"Vlastné čísla : Definícia, ako ich nájsť, diagonalizace ",,
Zhouf Jaroslav,LS 2016,IT,Ne,LIN,"Báze a dimenze vektorového prostoru, jak se tvoří matice zobrazení z vektorového prostoru A do B (nebo tak nějak) + ještě něco konkrétně, netušim, neměl jsem to. (Obor: Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice.) ",,
Kalvoda Tomáš,LS 2018,PG,Ne,LIN,Frobeniova věta. GEM. ,,
Petr Ivo,LS 2015,PI,Ne,LIN,"Soustavy lineárních rovnic, metody řešení a věta o existenci a jednoznačnosti řešení ",,
Dombek Daniel,LS 2016,SI,Ne,LIN,"Vlastní čísla, vlastní vektory, jak je prakticky vypočítat, podobnost matic, uvést související pojmy, nějaké další otázky k souboru vlastních vektorů a čísel ",,
Kalvoda Tomáš,LS 2022,SI,Ne,LIN,"Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda. Zaměřte se na Frobeniovu větu, definujte jí a všechny související pojmy.",,
Klán Petr,LS 2019,SI,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice. Upřesněno na definici vlastních čísel, jejich výpočet, zadaný příklad pro vypočítání vlastních čísel (A = (0 1 \n 1 0)) a k čemu se vlastní čísla používají.
",,
Olšák Petr,LS 2018,SI,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet(, vlastní čísla matice a jejich výpočet, diagonalizace matice)",,
Pernecká Eva,LS 2019,SI,Ne,LIN,"Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda. Příklad soustavy, která nemá řešení.",,
Kalvoda,LS 2020,TI,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda.",,
Petr Ivo,LS 2015,TI,Ne,LIN,Vlastní čísla a vektory. Diagonalizace matic ,,
Starý Jan,LS 2018,TI,Ne,LIN,"Vlastní čísla a vektory, diagonalizovatelnost (Ano... jen tuhle konkrétní část okruhu)",,
Starý Jan,LS 2021,WI,Ne,LIN,"Vastní čísla, vlastní vektory, jejich výpočet - definovat a ukázat výpočet vlastních vektorů a čísel na matici 3*3",,
Klouda Karel,LS 2016,WM,Ne,LIN,Frobeniova veta. Napis a taky napis jak se najde pomoci GEM kompletni reseni SLR. Uved priklad SLR co nema reseni. ,,
Šolcová Alena,ZS 2019,WSI,Ne,LIN,"Definice vlastních čísel, vlastního vektoru. Definovat diagovalizovatelnost. Spočítat matici  ((5 a)(a 8)) a jeji vlastni vektory",,
Kalvoda,LS 2020,WSI-PG,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet",,
Kalvoda,LS 2020,WSI-PG,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda.",,
Šolcová Alena,LS 2019,WSI-PG,Ne,LIN,"Násobení matic, regulární matice, vypočítat A.B a B.A (pokud je to možné. Kdy existuje inverzní matice? Je komutativnost mezi maticí a inverzní maticí?",,
Legerský Jan,LS 2020,WSI-SI,Ne,LIN,"Frobienova věta a její aplikace, vysvětlit související pojmy",,
Starý Jan,LS 2019,WSI-SI,Ne,LIN,"Vlastní čísla a vektory. Definice, jak se počítají a metodu dokázat.",,
Dombek Daniel,LS 2022,WSI-WI,Ne,LIN,"Matice: součin matic (...) vlastní čísla matice a jejich výpočet, diagonalizace matice. Zaměřte se na vlastní čísla, vlastní vektory, vztahy mezi nimi, jejich výpočet, podobné matice, diagonalizace.",,
Kleprlík Luděk,LS 2020,WSI-WI,Ne,LIN,"Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda. + příklad na soustavu rovnic",,
Rybníčková,LS 2020,WSI-WI,Ne,LIN,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice.",,
Kalvoda Tomáš,LS 2019,ZI,Ne,LIN,Frobeniova veta + vysvetliť súvisiace pojmy,,
Spěvák Jan,LS 2019,ZI,Ne,LIN,Vlastní čísla a diagonalizace matice.,,
Klouda Karel,LS 2017,,Ne,LIN,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení + uvést příklad, který má nekonečno řešení ",,
Pauš Petr,LS 2019,WSI-PG,Ano,LIN+PGR,"Lineární zobrazení, matice zobrazení a základní vlastnosti (hodnost zobrazení vs hodnost matice, inverzní zobrazení, složené zobrazení). Napište matici, která orotuje o alfa v nějakém směru (nevím už přesně) a o 45° v druhém.",,
Petr Pauš,LS 2018,PG,Ano,MGA,Stínovací modely.,,
Chludil,LS 2021,WSI-PG,Ano,MGA,"Phongův osvetlovací model - definice, příklady, počítání",,
Richtr,LS 2020,WSI-PG,Ano,MGA,"Phongův osvětlovací model (definice, použití příklady)",,
Richtr Radek,LS 2020,WSI-PG,Ano,MGA,Phongův osvětlovací model.,,
Pauš Petr,LS 2019,WSI-PG,Ano,MGA+PGR,Phongův osvětlovací model.,,
Šolcová,LS 2021,BIT,Ne,MLO,"Výroková logika: splnitelnost formulí, logická ekvivalence a důsledek, universální systém logických spojek, disjuntivní a konjunktivní normální tvary, úplné normální tvary. Navíc nějaká formule ((A&&C)⇒B) && (!A ⇒ D), rozhodnout zda z ní vyplývá formule (C || D).",,
Šolcová Alena,LS 2020,BIT,Ne,MLO,"Výroková logika: splnitelnost formulí, logická ekvivalence a důsledek, universální systém logických spojek, disjuntivní a konjunktivní normální tvary, úplné normální tvary. Navíc nějaká formule ((A&&C)=>B) && (!A => D) [nepamatuju si přesně jak vypadala], rozhodnout zda z ní vyplývá formule (C || D).",,
Trlifajová Kateřina,LS 2018,BIT,Ne,MLO,"Výroková logika - chtěla definici pravdivostního ohodnocení a DNT,KNT tvaru. Potom vysvětlit co je ÚDNT a minDNT v návaznosti na pravdivostní tabulku.",,
Rybníčková,LS 2021,ISM,Ne,MLO,"Výroková logika, DNT, KNT, logicky dusledek",,
Trlifajová,LS 2020,ISM,Ne,MLO,"Predikátová logika: formalizace matematických tvrzení v daném jazyce a jejich negace, splnitelnost formulí, logická ekvivalence a logický důsledek. Podotázka - Jak zjistit, že jedna formule je logickým důsledkem té druhé, jak k tomu lze využít důkaz sporem a předvést na netriviálním příkladu",,
Tvrdík Pavel,LS 2015,ISM,Ne,MLO,"Sémantika a syntax výrokové logiky, tautologie, kontradikce, splnitelné formule, zákony výrokové logiky: ",,
Starý Jan,LS 2015,SI,Ne,MLO,Splnitelnost množiny formulí – věta o kompaktnosti ,,
Starý Jan,LS 2015,SI,Ne,MLO,"Universální systém spojek, definice, příklady, protipříklady. ",,
Starý Jan,LS 2015,SI,Ne,MLO,Skolemův normální tvar a rozhodování jeho splnitelnosti (+uvést příklady) ,,
Šolcová Alena,LS 2018,SI,Ne,MLO,,,
Trlifajová Kateřina,LS 2015,SI,Ne,MLO,"Predikátová logika - teória, model teórie, splniteľnosť teórie, tautologický dôsledok teórie, rezolučná metóda alebo metóda sémantických stromov na určenie splniteľnosti teórie, ukázať na príklade ",,
Trlifajová Kateřina,LS 2015,SI,Ne,MLO,"Splnitelná teorie ve výrokové logice. Tautologický důsledek teorie. Metoda sémantických stromů (vysvětlete, uveďte příklady) ",,
Trlifajová Kateřina,LS 2022,SI,Ne,MLO,"Výroková logika - definujte konjunktivní a disjunktivní normální tvar, úplný normální tvar, logickou ekvivalenci, ukažte souvislost mezi úplnými tvary a pravdivostnou tabulkou na netriviálním příkladu",,
Dombek Daniel,LS 2022,WI,Ne,MLO,"Výroková logika: splnitelnost formulí, logická ekvivalence a důsledek, universální systém logických spojek, disjuntivní a konjunktivní normální tvary, úplné normální tvary. – zúžení na logickou ekvivalenci, důsledek, univerzální systém spojek (minimální počet, co to vlastně znamená, proč to funguje – náznak „důkazu“) ",,
Trlifajová Kateřina,LS 2015,WM,Ne,MLO,"Teorie ve výrokové logice, tautologický důsledek teorie, metoda sémantických stromů, resoluční metoda ",,
Trlifajová Kateřina,LS 2015,WM,Ne,MLO,Disjunktivní a konjunktivní tvar: Věta o existenci. Převod disjunktivního na konjunktivní a zpět. Vztah úplného disjuktivního tvaru a pravdivostní tabulky. Ukázat na příkladu. ,,
Klán Petr,ZS 2019,WSI,Ne,MLO,"Výroková logika...  -> (podotázka) Zaměřte se na logický součin, sčítání, implikaci a ekvivalenci + pravdivostní tabulku. Ukažte co je modus ponens. Definice výrokové formule.",,
Rybníčková Jitka,LS 2019,WSI,Ne,MLO,"Výroková logika, definujte její syntax, pravdivostní ohodnocení, popište logickou ekvivalenci a logický důsledek",,
Šolcová Alena,LS 2019,WSI-PG,Ne,MLO,"Výroková logika: syntax a sémantika výrokových formulí, pravdivostní ohodnocení, logický důsledek, ekvivalence a jejich zjišťování. Universální systém logických spojek, disjunktivní a konjunktivní normální tvary, úplné a minimální tvary. Zaměřte se na UDNT a minimalizovat UDNT pomoci karnaughovy mapy (byl zadaný příklad). Otázka: Jaká je souvislost mezi UDNT a pravdivostní tabulkou?",,
Šolcová Alena,LS 2022,WSI-PG,NE,MLO,"Výroková logika: splnitelnost formulí, logická ekvivalence a důsledek, universální systém logických spojek, disjuntivní a konjunktivní normální tvary, úplné normální tvary. Navíc nějaká dve formule a dokazat, ze treti formule je jejich dusledek budto pomoci stromu nebo tabulky (negace formule a konjukce s teorii)",,
Olšák,LS 2021,WSI-SI,Ne,MLO,"Výroková logika: splnitelnost formulí, logická ekvivalence a důsledek, universální systém logických spojek, disjunktivní a konjunktivní normální tvary, úplné normální tvary.",,
Šolcová Alena,LS 2019,WSI-SI,Ne,MLO,"Výroková logika: syntax a sémantika výrokových formulí, pravdivostní ohodnocení, logický důsledek, ekvivalence a jejich zjišťování. Universální systém logických spojek, disjunktivní a konjunktivní normální tvary, úplné a minimální tvary. Zaměřte se na UDNT a minimalizovat UDNT pomoci karnaughovy mapy (byl zadaný příklad).",,
Trlifajová,LS 2021,WSI-SI,Ne,MLO,"definice logického důsledku, pak definice platné formule, splnitelné, kontradikce + příklad formule ke každému a ukázat, která je důsledek které",,
Rybníčková,LS 2020,WSI-WI,Ne,MLO,"Výroková logika - syntax, logické důsledky a ekvivalence, definuj pravdivostní ohodnocení",,
Dedecius,LS 2020,ZI,Ne,MLO,"Výroková logika - formule, splnitelnost, ekvivalence, disjunktivní a konjunktivní normální tvary.",,
Trlifajová Kateřina,LS 2019,ZI,Ne,MLO,"Logický důsledek, ekvivalence a jejich zjišťování, universální systém logických spojek, příklad takového systému a popsat NAND a NOR",,
Trlifajová Kateřina,LS 2019,ZI,Ne,MLO,"Výroková logika: DNT, úplný a minimální DNT",,
Buchtela David,LS 2015,ISM,Ano,OMO,OntoUML: Sortals a NonSortals a jejich charakteristiky a využití ,,
Buchtela David,LS 2015,ISM,Ano,OMO,Konceptuálne modelovanie a pojmy s tým súvisiace ,,
Buchtela David,LS 2015,ISM,Ano,OMO,"Sortals a Nonsortals - charakteristika, použití. ",,
Pergl Robert,LS 2015,ISM,Ano,OMO,"OntoUML, základy, entita, atributy ",,
Pergl Robert,LS 2015,ISM,Ano,OMO,"Čisté objektové paradigma — budování struktury systému; třídní a beztřídní systémy, aktorový model ",,
Pergl Robert,LS 2015,ISM,Ano,OMO,"Konceptuální modelování: základní pojmy, význam. ",,
Pergl Robert,LS 2015,ISM,Ano,OMO,"Kolekce a objektové databáze, dotazy nad ODB ",,
Pergl Robert,LS 2016,ISM,Ano,OMO,Převod konceptuálního modelu na čistě objektový. Zaměřte se zejména na převod Sortalů a Non-Sortalů. Uveďte příklady. ,,
Pergl Robert,LS 2016,ISM,Ano,OMO,"Čisté objektové paradigma — kolekce, objektové databáze, dotazy nad nimi. ",,
Pergl Robert,LS 2016,ISM,Ano,OMO,"Konceptuální modelování: jeho význam a základní pojmy. Transformace konceptuálního modelu na čistě objektový model, základní techniky a návrhové vzory. ",,
Pergl Robert,LS 2016,ISM,Ano,OMO,"OntoUML — význam, základní pojmy: entita, atribut, dědění a jeho metaatributy, asociace a její metaatributy, Sortals a non-Sortals ",,"
"
Pergl Robert,LS 2017,ISM,Ano,OMO,"OntoUML — teorie celku a částí: typy povinností, metaatributy, typy agregací. Uvedte priklady. ",,
Křikava Filip,LS 2016,SI,Ano,OMO,"Čisté objektové paradigma — vznik a vývoj, abstrakce, chování, polymorfismus. ",,
Křikava Filip,LS 2016,SI,Ano,OMO,"OntoUML — teorie celku a částí: typy povinností, metaatributy, typy agregací, aspekty a relace. ",,
Křikava Filip,LS 2016,SI,Ano,OMO,"OntoUML — význam, základní pojmy: entita, atribut, dědění a jeho metaatributy, asociace a její metaatributy, Sortals a non-Sortals. ",,
Křikava Filip,LS 2016,SI,Ano,OMO,"Čisté objektové paradigma — budování struktury systému; třídní a beztřídní systémy, aktorový model. ",,
Rybola Zdeněk,LS 2015,SI,Ano,OMO,"OntoUML — teorie Celku a částí: typy povinností, metaatributy, typy agregací. Uveďte příklady ",,
Rybola Zdeněk,LS 2015,SI,Ano,OMO,"Čistě objektové paradigma. Třída, Objekt, Abstrakce, Chování, Polymorfismus, Dědičnost ",,
Rybola Zdeněk,LS 2016,SI,Ano,OMO,"OntoUML — význam, základní pojmy: entita, atribut, dědění a jeho metaatributy, asociace a její metaatributy, Sortals a non-Sortals. — Upřesnění: Soustřeďte se na Sortals a jejich vlastnosti, uveďte příklady.",,
Špaček Petr,LS 2015,SI,Ano,OMO,"OOP, principy, chování, abstrakce, polymorfismus. Graficky ilustrovat metody a atributy. ",,
Špaček Petr,LS 2015,SI,Ano,OMO,Čistě objektové paradigma - vznik a vývoj. Rozdíl mezi „objektem“ a „třídou“ a jaké metody můžeme definovat. ,,
Špaček Petr,LS 2015,SI,Ano,OMO,"Porovnast dedicnost a skladani, vyhody nevyhody. ",,
Valenta Michal,LS 2015,SI,Ano,OMO,"Kolekce, konceptuální databáze, dotazy nad objektovou databází ",,
Valenta Michal,LS 2015,SI, ,OMO,"Konceptuální modelování, význam a pojmy ",,
Pavlíček Josef,LS 2018,SI,Ano,OOP,"Čisté objektové paradigma — principy návrhu OO systémů + definujte kolekci a podrobněji popište List, Set, Map + popište a uveďte příklad abstrakce.",,
Pavlíček Josef,LS 2018,SI,Ano,OOP,"OOP - základné pojmy, objekt vs. trieda, polymorfismus, dedičnosť, abstrakcia (ku každému nejaký príklad)",,
Petr Špaček,LS 2020,WSI-SI,Ano,OOP,"OOP polymorphismus - subtyping, generics, bounds a variance - Zaměřte se pouze na variance",,
Petr Špaček,LS 2020,WSI-SI,Ano,OOP,"OOP polymorphismus - subtyping, generics, bounds a variance. - Zaměřte se pouze na variance",,
Daněček,LS 2021,BIT,Ne,OSY,"Procesy a vlákna, jejich implementace, synchronizačné nástroje",,
Daněček Jiří ,LS 2020,BIT,Ne,OSY,"Procesy, vlákna, jejich implementace, synchronizační nástroje",,
Kašpar Jiří,LS 2019,BIT,Ano,OSY,"Principy souborových systémů (FAT, NTFS, UFS, ZFS), jejich implementace a vlastnosti.       ",,
Kašpar Jiří,LS 2019,BIT,Ano,OSY,"HDD a SSD, diskové pole RAID (0, 1, 0 + 1, 1 + 0, 5), soustřeďte se na diskové pole.",,
Kašpar Jiří,ZS 2019,BIT,Ano,OSY,"Principy souborových systémů (FAT, NTFS, UFS, ZFS), jejich implementace a vlastnosti.",,
Petr Zemánek,LS 2022,BIT,Ano,OSY,"Datová úložiště: pevné disky HDD (geometrie, algoritmy plánování přístupu, srovnání s SSD), disková pole RAID (RAID 0, RAID 1, RAID 1+0, RAID 5) a jejich vlastnosti.",,
Petr Zemánek,LS 2022,BIT,Ano,OSY,"Principy, implementace a vlastnosti klasických souborových systémů (rozložení dat na disku, implementace souborů/adresářů, implementace v OS) a princip moderních souborových systémů založených na B-stromech a B+-stromech.",,
Jan Trdlička,LS 2020,ISM,Ne,OSY,"Procesy a vlákna. Zaměření: defenice vlákna a procesu, řizení vláken v bežných OS(Windows, Linux, Solaris...)",,
Jan Trdlička,LS 2020,ISM,Ne,OSY,"Procesy a prostředky. Co to je uváznutí. Coffmanovy podmínky. Jak se z uváznutí ""dostat"".",,
Trdlička,LS 2020,ISM,Ne,OSY,"Procesy a vlákna, jejich implementace. Synchronizační nástroje. Klasické synchronizační úlohy. Plánování vláken. Přidělování prostředků, Coffmanovy podmínky, způsoby řešení uváznutí.",,
Trdlička,LS 2020,ISM,Ne,OSY,"Přidělování prostředků procesům, Coffmanovy podmínky, uváznutí. Jak se se dá do uváznutí dostat, jak se dá „vyřešit“?",,
Tvrdík Pavel,LS 2016,ISM,Ne,OSY,Principy překladu logických adres na fyzické u virtuální stránkované paměti s/bez segmentace. ,,
Guth Ondřej,LS 2016,PI,Ne,OSY,"Klasické synchronizační úlohy, Coffmanovy podmínky, způsoby řešení uváznutí. ",,
Trdlička Jan,LS 2015,PI,Ne,OSY,,,
Trdlička Jan,LS 2015,PI,Ne,OSY,Plánovanie vláken (Algoritmy …) ,,
Kašpar Jiří,LS 2022,SI,Ne,OSY,"Synchronizační nástroje, jejich použití, ukázka na synchronizačním problému",,
Trdlička Jan,LS 2015,SI,Ne,OSY,"Algoritmy náhrady stránek, LRU a clock algoritmus ",,
Trdlička Jan,LS 2016,SI,Ne,OSY,Algoritmy pro náhradu stránek. Diskutujte vlastnosti alespoň 3 algoritmů. ,,
Vagner Ladislav,LS 2015,SI,Ne,OSY,Súborový systém UFS ,,
Daněček Jiří,LS 2016,TI,Ne,OSY,"Definujte pojem vlákno. V jakých stavech se může vlákno nacházet? Vysvětlete, kdy vlákno přechází z jednoho stavu do druhého. ",,
Jan Trdlička,LS 2020,WSI-PG,Ne,OSY,Popište algoritmy pro náhradu stránek. Jejich princip a vlastnosti.,,
Trdlička Jan,LS 2020,WSI-PG,Ne,OSY,Plánování vláken,,
Trdlička Jan,LS 2019,WSI-SI,Ne,OSY,"Procesy a vlákna, jejich implementace. Synchronizační nástroje. Klasické synchronizační úlohy. Plánování vláken. Přidělování prostředků, Coffmanovy podmínky, způsoby řešení uváznutí. Zaměřte se na Coffmanovy podmínky a jak řešit problém uváznutí.",,
Trdlička Jan,LS 2019,WSI-SI,Ne,OSY,Algoritmy pro náhradu stránek. Diskutujte vlastnosti alespoň 3 algoritmů. ,,
Trdlička Jan,LS 2019,WSI-WI,Ne,OSY,Plánování vláken,,
Trdlička Jan,LS 2019,WSI-WI,Ne,OSY,Plánování vláken,,
Dostál Jiří,LS 2020,ZI,Ne,OSY,"Virtualizace paměti pomocí stránkování, principy překladu logických adres na fyzické, algoritmy pro nahrazování stránek.",,
Jan Trdlička,LS 2022,ZI,Ne,OSY,"Procesy a vlákna, jejich implementace. Zaměřte se na běžnou implementaci vláken v OS.",,
Jan Trdlička,LS 2022,ZI,Ne,OSY,"VAS, stránkování, popis a nevýhody různých přístupů",,
Jan Trdlička,LS 2022,ZI,Ne,OSY,"Přidělování prostředků, podmínky uváznutí a způsoby vyřešení",,
Trdlička,LS 2020,ZI,Ne,OSY,"Procesy a vlákna, jejich implementace. Plánování vláken.",,
Muzikář Zdeněk,LS 2017,,Ano,OSY,"Principy souborových systémů (adresáře, soubory a jejich atributy). Implementace v praxi (FAT, NTFS, UFS, EXT, ZFS): vyberte si jeden a popište jeho klady a zápory oproti ostatním FS. ",,
Muzikář Zdeněk,LS 2017,,Ne,OSY,Synchronizační nástroje. Klasické synchronizační úlohy. ,,
Šimeček Ivan,LS 2017,,Ne,OSY,"Procesy a vlákna, jejich implementace. Synchronizační nástroje. Klasické synchronizační úlohy. Plánování vláken. Přidělování prostředků, Coffmanovy podmínky, způsoby řešení uváznutí. (zaměření na synchronizační nástroje a úlohy) ",,
Tvrdík Pavel,LS 2017,,Ne,OSY,Principy překladu logických adres na fyzické u virtuální stránkované paměti bez segmentace. Algoritmy pro nahrazování stránek u virtuální stránkované paměti. ,,
Daněček,LS 2021,BIT,Ne,PA1,Datové typy v programovacích jazycích. Staticky a dynamicky alokované proměnné,,
Vogel Josef,LS 2016,IT,Ne,PA1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (Bubble-sort, Select-sort, Insert-sort, Merge-sort, Quick-sort). - Soustredte se na srovnani casove slozitosti, pivot u Quick sortu. ",,
Vogel Josef,LS 2016,IT,Ne,PA1,"Rozklad problému na podproblémy, rekurze. Rekurze vs. iterace. (Zaměření na rekurzi, příklady, kdy lze převést na iteraci a kdy je to dokonce efektivnější.) ",,
Vogel Josef,LS 2016,IT,Ne,PA1,"Implementace spojového seznamu v C (stačí obrázek), alokace a dealokace paměti v C a v C++, porovnání s přístupem oproti jazykům jako je Java, C# atd. Kompilované a interpretované jazyky, rozdíly, výhody/nevýhody. ",,
Vogel Josef,LS 2022,PI,Ne,PA1,"Datové typy v programovacích jazycích. Staticky a dynamicky alokované proměnné, spojové seznamy. Modulární programování, procedury a funkce, vstupní a výstupní parametry. Překladač, linker, debugger.",,
Balík Miroslav,LS 2015,WM,Ne,PA1,"Základní datové typy (klasické, složené, pointery), statické, dynamické, globální a lokální proměnné a kde se ukládají. Vše vysvětlit na příkladech: ",,
Balík Miroslav,LS 2016,WM,Ne,PA1,"Časová a prostorová složitost. Asymptotocká složitost sortících algoritmů - Landauova notace. Vyberte si 2 sortící algoritmy, popište je a uveďte jejich asymptotické složitosti.",,
Balík Miroslav,LS 2016,WM,Ne,PA1,"Datové typy v programovacích jazycích. Staticky a dynamicky alokované proměnné, spojové seznamy. Modulární programování, procedury a funkce, vstupní a výstupní parametry. Překladač, linker, debugger",,
Balík,LS 2021,WSI-SI,Ne,PA1,"Datové typy v programovacích jazycích. Staticky a dynamicky alokované proměnné. Zamerajte sa na ukazatel, jeho vlastnosti a použiteľnosť.",,
Vogel,LS 2020,ZI,Ne,PA1,"Časová a paměťová složitost, zaměřte se na Asymptotickou časovou složitost",,
Vogel ,LS 2020,ZI,Ne,PA1,Asymptotická časová složitost,,
Vogel Josef,LS 2017,,Ne,PA1,"Časová a paměťová složitost algoritmů. Algoritmy vyhledávání (sekvenční, půlením intervalu), slučování a řazení (Bubble-sort, Select-sort, Insert-sort, Merge-sort, Quick-sort). ",,
Vogel Josef,LS 2017,,Ne,PA1,"Datové typy v programovacích jazycích. Staticky a dynamicky alokované proměnné, spojové seznamy. Modulární programování, procedury a funkce, vstupní a výstupní parametry. Překladač, linker, debugger. ",,
Vagner,LS 2021,ISM,Ne,PA1/AG1,"Rozděl-a-panuj, Dynamické programování (Zaměřit se na rozdíl mezi rekurzí a DP, uvést na příkladu nejdelší společná podposloupnoust (LIS - longest common subsequence)",,
Balík Miroslav,LS 2019,BIT,Ne,PA2,"ADT - Set & List, rozdiely, implementácia",,
Tvrdík Pavel,LS 2018,ISM,NE,PA2,"ADT:seznam,set,table",,
Vagner Ladislav,LS 2015,ISM,Ne,PA2,"ADT množina, co je to ADT, typy implementací, časová a paměťová složitost operací: ",,
Vagner Ladislav,LS 2015,IT,Ne,PA2,"Datový typ tabulka: implementace, časová a paměťová složitost. ",,
Kašpar Jiří,LS 2022,SI,Ne,PA2,"Vysvětlit princip a uvést příklad v C++: virtuální metoda, abstraktní třída, polymorfismus",,
